# Unbound upstream snapshot source (dns.malw.link hosts list, 2025-11-27).
# Raw hosts format: <ip> <host>. Re-fetch/update this file, then run:
#   just unbound-hosts
0.0.0.0 2no.co
0.0.0.0 731111.mediascope.mail.ru
185.246.223.127 ab.chatgpt.com
45.95.233.23 account-api.proton.me
45.95.233.23 account.proton.me
185.246.223.127 accounts.spotify.com
45.95.233.23 accounts.supercell.com
185.246.223.127 accounts.x.ai
0.0.0.0 ad.mail.ru
0.0.0.0 adfox.yandex.ru
0.0.0.0 adfstat.yandex.ru
0.0.0.0 ads-api.tiktok.com
0.0.0.0 ads-api.twitter.com
0.0.0.0 ads-dev.pinterest.com
0.0.0.0 ads-sg.tiktok.com
185.246.223.127 aet.spotify.com
134.0.118.88 aisandbox-pa.googleapis.com
134.0.118.88 aistudio.google.com
185.246.223.127 aitestkitchen.withgoogle.com
134.0.118.88 alkalimakersuite-pa.clients6.google.com
0.0.0.0 alt-ad.mail.ru
0.0.0.0 amc.yandex.ru
0.0.0.0 an.yandex.ru
185.246.223.127 android.chat.openai.com
185.246.223.127 ap-gew1.spotify.com
185.246.223.127 api-free.deepl.com
185.246.223.127 api-global.squareup.com
185.246.223.127 api-partner.spotify.com
185.246.223.127 api-sg-central.trae.ai
185.246.223.127 api.anthropic.com
185.246.223.127 api.elevenlabs.io
185.246.223.127 api.fitbit.com
185.246.223.127 api.github.com
185.246.223.127 api.imgur.com
185.246.223.127 api.individual.githubcopilot.com
64.188.98.242 api.manus.im
185.246.223.127 api.openai.com
185.246.223.127 api.spotify.com
185.246.223.127 api.squareup.com
185.246.223.127 api.tidal.com
185.246.223.127 api.trae.ai
185.246.223.127 api.us.elevenlabs.io
185.246.223.127 api16-normal-alisg.mchost.guru
0.0.0.0 appmetrica.yandex.ru
185.246.223.127 appresolve.spotify.com
185.246.223.127 assets.grok.com
134.0.118.88 assistant-s3-pa.googleapis.com
185.246.223.127 auth.anthropic.com
185.246.223.127 auth.deepl.com
185.246.223.127 auth.openai.com
185.246.223.127 auth.tidal.com
185.246.223.127 auth0.openai.com
157.240.245.174 b.i.instagram.com
185.246.223.127 backend.deepl.com
0.0.0.0 bc.ax
107.150.34.99 builds.parsec.app
185.246.223.127 cdn.auth0.com
185.246.223.127 cdn.id.supercell.com
185.246.223.127 cdn.oaistatic.com
185.246.223.127 chatgpt.com
185.246.223.127 clashofclans.inbox.supercell.com
185.246.223.127 clearance.deepl.com
185.246.223.127 client-api.linear.app
185.246.223.127 codeium.com
185.246.223.127 codeiumdata.com
185.246.223.127 console.anthropic.com
185.246.223.127 constellation.linear.app
185.246.223.127 copilot.microsoft.com
172.64.33.155 d.rutor.info
185.246.223.127 dd.tidal.com
185.246.223.127 deepl.com
185.246.223.127 deezer.com
185.246.223.127 developer.nvidia.com
185.246.223.127 dict.deepl.com
185.246.223.127 dzcdn.net
0.0.0.0 ed.tc
185.246.223.127 edgeservices.bing.com
185.246.223.127 elevenlabs.io
185.246.223.127 elevenreader.io
185.246.223.127 encore.scdn.co
185.246.223.127 errortracking.deepl.com
45.95.233.23 eu.posthog.com
185.246.223.127 experimentation-grpc.deepl.com
185.246.223.127 experimentation.deepl.com
0.0.0.0 ezstat.ru
185.246.223.127 files.oaiusercontent.com
185.246.223.127 fitbit-pa.googleapis.com
185.246.223.127 fitbit.google.com
185.246.223.127 fitbitvestibuleshim-pa.googleapis.com
185.246.223.127 framer.com
185.246.223.127 fsu.fa.tidal.com
185.246.223.127 game-assets.brawlstarsgame.com
185.246.223.127 game-assets.clashofclans.com
185.246.223.127 game-assets.clashroyaleapp.com
185.246.223.127 game.brawlstarsgame.com
45.95.233.23 game.clashroyaleapp.com
45.95.233.23 game.mocogame.com
108.61.167.26 game.squadbustersgame.com
64.188.98.242 gamea.clashofclans.com
185.246.223.127 gemini.google
185.246.223.127 gemini.google.com
134.0.118.88 generativelanguage.googleapis.com
185.246.223.127 geolocation.onetrust.com
185.246.223.127 gew1-spclient.spotify.com
185.246.223.127 gql.twitch.tv
0.0.0.0 grabify.org
185.246.223.127 grok.com
185.246.223.127 guidedhacking.com
185.246.223.127 help.elevenlabs.io
157.240.245.174 help.instagram.com
45.95.233.23 images.tidal.com
185.246.223.127 inference.codeium.com
157.240.245.174 instagram.com
185.246.223.127 ios.chat.openai.com
0.0.0.0 iplis.ru
0.0.0.0 iplog.co
0.0.0.0 iplogger.org
185.246.223.127 ita-free.app.deepl.com
185.246.223.127 ita-free.www.deepl.com
185.246.223.127 jules.google.com
185.246.223.127 labs.google
185.246.223.127 linear.app
185.246.223.127 link.tidal.com
185.246.223.127 listen.tidal.com
0.0.0.0 log16-platform-ycru.tiktokv.com
185.246.223.127 login-wall.deepl.com
185.246.223.127 login.app.spotify.com
185.246.223.127 login.tidal.com
185.246.223.127 login5.spotify.com
45.95.233.23 mail.proton.me
0.0.0.0 maper.info
185.246.223.127 marketplace.windsurf.com
0.0.0.0 mc.yandex.ru
185.246.223.127 notebooklm.google
185.246.223.127 notebooklm.google.com
130.255.77.28 ntc.party
185.246.223.127 o.pki.goog
185.246.223.127 oneshot-free.www.deepl.com
0.0.0.0 only-fans.me
0.0.0.0 only-fans.uk
0.0.0.0 onlyfans.wtf
185.246.223.127 open.spotify.com
45.95.233.23 operator.chatgpt.com
185.246.223.127 ott.deepl.com
185.246.223.127 payment.deezer.com
185.246.223.127 platform.openai.com
134.0.118.88 proactivebackend-pa.googleapis.com
185.246.223.127 profile.broadcom.com
45.95.233.23 proton.me
185.246.223.127 proxy.individual.githubcopilot.com
185.246.223.127 public.linear.app
185.246.223.127 resources.tidal.com
45.95.233.23 rewards.bing.com
0.0.0.0 rezvorck.github.io
134.0.118.88 robinfrontend-pa.googleapis.com
172.64.33.155 rutor.info
173.245.59.155 rutor.is
185.246.223.127 s.deepl.com
185.246.223.127 s.linear.app
185.246.223.127 security.id.supercell.com
185.246.223.127 server.codeium.com
185.246.223.127 shield.deepl.com
185.246.223.127 sora.chatgpt.com
185.246.223.127 sora.com
185.246.223.127 spclient.wg.spotify.com
185.246.223.127 static.linear.app
185.246.223.127 stitch.withgoogle.com
185.246.223.127 store.supercell.com
185.246.223.127 sydney.bing.com
185.246.223.127 tcr9i.chat.openai.com
45.95.233.23 test.dns.malw.link
0.0.0.0 tigr1234566.github.io
52.223.13.41 tracker.openbittorrent.com
185.246.223.127 trae-api-sg.mchost.guru
185.246.223.127 tria.ge
185.246.223.127 unleash.codeium.com
185.246.223.127 uploads.linear.app
185.246.223.127 upsx.weather.com
45.95.233.23 usher.ttvnw.net
185.246.223.127 videos.openai.com
185.246.223.127 w.deepl.com
185.246.223.127 weather.com
185.246.223.127 web-backend.codeium.com
142.54.189.106 web.archive.org
134.0.118.88 webchannel-alkalimakersuite-pa.clients6.google.com
185.246.223.127 webrtc.chatgpt.com
185.246.223.127 windsurf-stable.codeium.com
185.246.223.127 windsurf-telemetry.codeium.com
185.246.223.127 windsurf.com
0.0.0.0 wl.gl
185.246.223.127 write-free.www.deepl.com
50.7.85.222 www.canva.com
185.246.223.127 www.deepl.com
185.246.223.127 www.deezer.com
185.246.223.127 www.dell.com
45.95.233.23 www.dyson.com
45.95.233.23 www.dyson.fr
157.240.245.174 www.instagram.com
185.246.223.127 www.intel.com
185.246.223.127 www.notion.so
185.246.223.127 www.qwant.com
185.246.223.127 www.spotify.com
50.7.85.219 www.tiktok.com
185.246.223.127 www2.deepl.com
185.246.223.127 xgpuweb.gssv-play-prod.xboxlive.com
185.246.223.127 xgpuwebf2p.gssv-play-prod.xboxlive.com
185.246.223.127 xpui.app.spotify.com
185.246.223.127 xsts.auth.xboxlive.com
0.0.0.0 yip.su
157.240.245.174 z-p42-chat-e2ee-ig.facebook.com
